4,Grand Central Terminal; Park Avenue; New York is the world's,5
4,Entomology is the science that studies,5
4,Eritrea; which became the 182nd member of the UN in 1993; is in the continent of,5
4,Garampani sanctuary is located at,5
4,For which of the following disciplines is Nobel Prize awarded?,5
5,Hitler party which came into power in 1933 is known as,5
5,FFC stands for,5
5,Fastest shorthand writer was,5
5,Epsom (England) is the place associated with,5
5,First human heart transplant operation conducted by Dr. Christiaan Barnard on Louis Washkansky; was conducted in,5
